iter	Passed	Remaining
556	2150	1710
557	2152	1704
558	2154	1699
559	2156	1694
560	2158	1688
561	2160	1683
562	2162	1678
563	2164	1673
564	2166	1667
565	2168	1662
566	2170	1657
567	2172	1652
568	2174	1647
569	2176	1642
570	2179	1637
571	2182	1633
572	2184	1627
573	2186	1622
574	2188	1617
575	2191	1612
576	2193	1607
577	2195	1602
578	2200	1599
579	2202	1594
580	2204	1589
581	2206	1584
582	2208	1579
583	2214	1577
584	2216	1572
585	2218	1567
586	2220	1562
587	2222	1557
588	2224	1552
589	2230	1549
590	2232	1544
591	2234	1539
592	2236	1534
593	2238	1529
594	2240	1525
595	2243	1520
596	2245	1515
597	2247	1510
598	2249	1505
599	2251	1501
600	2253	1496
601	2255	1491
602	2258	1486
603	2260	1481
604	2262	1477
605	2264	1472
606	2267	1467
607	2269	1463
608	2271	1458
609	2273	1453
610	2275	1448
611	2277	1444
612	2280	1439
613	2282	1434
614	2284	1429
615	2286	1425
616	2289	1421
617	2291	1416
618	2293	1411
619	2296	1407
620	2298	1402
621	2300	1397
622	2302	1393
623	2304	1388
624	2306	1384
625	2309	1379
626	2311	1374
627	2313	1370
628	2314	1365
629	2317	1361
630	2319	1356
631	2321	1352
632	2324	1347
633	2326	1342
634	2328	1338
635	2330	1333
636	2332	1329
637	2334	1324
638	2336	1319
639	2338	1315
640	2340	1310
641	2342	1306
642	2344	1301
643	2346	1297
644	2348	1292
645	2350	1288
646	2352	1283
647	2354	1279
648	2356	1274
649	2358	1270
650	2360	1265
651	2362	1261
652	2365	1256
653	2367	1252
654	2369	1247
655	2371	1243
656	2373	1239
657	2375	1234
658	2377	1230
659	2380	1226
660	2382	1221
661	2384	1217
662	2386	1212
663	2388	1208
664	2390	1204
665	2392	1199
666	2394	1195
667	2397	1191
668	2399	1187
669	2401	1182
670	2403	1178
671	2405	1174
672	2407	1169
673	2409	1165
674	2412	1161
675	2414	1157
676	2416	1152
677	2418	1148
678	2420	1144
679	2423	1140
680	2425	1136
681	2427	1131
682	2429	1127
683	2431	1123
684	2434	1119
685	2436	1115
686	2438	1111
687	2440	1106
688	2443	1102
689	2445	1098
690	2447	1094
691	2450	1090
692	2453	1086
693	2455	1082
694	2457	1078
695	2460	1074
696	2462	1070
697	2464	1066
698	2467	1062
699	2469	1058
700	2471	1054
701	2473	1050
702	2475	1046
703	2478	1041
704	2479	1037
705	2482	1033
706	2484	1029
707	2486	1025
708	2488	1021
709	2491	1017
710	2493	1013
711	2495	1009
712	2497	1005
713	2499	1001
714	2502	997
715	2504	993
716	2506	989
717	2509	985
718	2511	981
719	2514	977
720	2516	973
721	2519	970
722	2521	966
723	2524	962
724	2526	958
725	2528	954
726	2530	950
727	2532	946
728	2535	942
729	2539	939
730	2541	935
731	2552	934
732	2554	930
733	2556	926
734	2559	922
735	2562	919
736	2565	915
737	2569	912
738	2571	908
739	2573	904
740	2577	901
741	2580	897
742	2583	893
743	2586	889
744	2588	886
